Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.001 39.4067 73.7734 13.6329 0.333084 0.334673 16.2974 2.0951 2.3474
0.00104737 39.3917 73.7453 13.6368 0.332382 0.333969 16.1709 2.08937 2.32333
0.00109699 39.3752 73.7144 13.6411 0.331672 0.333257 16.058 2.08451 2.30119
0.00114895 39.3571 73.6804 13.6458 0.330971 0.332555 15.9131 2.07772 2.27663
0.00120338 39.3373 73.6434 13.6509 0.330258 0.33184 15.8048 2.07379 2.25465
0.00126038 39.3159 73.6033 13.6565 0.32954 0.33112 15.6712 2.06663 2.23298
0.00132009 39.2927 73.56 13.6625 0.328817 0.330395 15.5733 2.06214 2.21425
0.00138262 39.2678 73.5133 13.669 0.328064 0.329641 15.4472 2.05611 2.19269
0.00144812 39.2411 73.4633 13.676 0.327331 0.328906 15.3102 2.04942 2.17122
0.00151672 39.2125 73.4098 13.6835 0.32658 0.328153 15.2 2.04367 2.15226
0.00158857 39.1821 73.3529 13.6914 0.325837 0.327408 15.0639 2.03662 2.1318
0.00166382 39.1498 73.2924 13.6999 0.325104 0.326673 14.9375 2.03035 2.11192
0.00174263 39.1156 73.2284 13.7089 0.324388 0.325955 14.8032 2.02298 2.09261
0.00182518 39.0795 73.1609 13.7184 0.323694 0.32526 14.6608 2.01481 2.07326
0.00191164 39.0416 73.0899 13.7284 0.323015 0.324579 14.5077 2.00622 2.05305
0.0020022 39.0019 73.0155 13.7389 0.322371 0.323933 14.3772 1.99877 2.03522
0.00209705 38.9604 72.9378 13.7498 0.321746 0.323307 14.2193 1.99026 2.01575
0.00219639 38.9171 72.8568 13.7613 0.321152 0.322712 14.0923 1.98258 1.99832
0.00230043 38.8721 72.7726 13.7732 0.320572 0.32213 13.9544 1.97512 1.9807
0.0024094 38.8255 72.6853 13.7857 0.32003 0.321587 13.8293 1.96848 1.96484
0.00252354 38.7772 72.5949 13.7985 0.3195 0.321056 13.7005 1.962 1.94793
0.00264308 38.7273 72.5016 13.8118 0.318972 0.320526 13.6181 1.95804 1.93479
0.00276829 38.6759 72.4053 13.8256 0.318478 0.32003 13.5028 1.95262 1.9197
0.00289942 38.623 72.3063 13.8398 0.317994 0.319546 13.4445 1.95099 1.90804
0.00303677 38.5686 72.2043 13.8545 0.317524 0.319074 13.3679 1.94828 1.89519
0.00318063 38.5126 72.0995 13.8696 0.317063 0.318612 13.2997 1.9467 1.88307
0.00333129 38.4552 71.992 13.8851 0.316621 0.318169 13.2496 1.94629 1.87301
0.0034891 38.3962 71.8817 13.9011 0.316186 0.317732 13.2008 1.94646 1.86163
0.00365438 38.3357 71.7684 13.9175 0.315782 0.317327 13.1605 1.9459 1.85342
